"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
22,"NCT03263195","Prospective Cohort Study of HIV and Zika in Infants and Pregnancy","HIV ZIP","Active, not recruiting","No Results Available","HIV|Zika Virus|Pregnant Women",,"Enrollment (150 HIV-infected and 50 HIV-uninfected pregnant women within one year, with a minimum of 20 of these women having HIV/ZIKV co-infection by their end of pregnancy).|Viral suppression (in HIV-infected women with ZIKV co-infection compared to those without ZIKV co-infection during pregnancy and at the time of delivery).|Incidence of ZIKV infection (among pregnant women with HIV infection compared to those without HIV infection).|Incidence of adverse pregnancy outcomes (in women co-infected with HIV and ZIKV, women infected with either HIV or ZIKV alone, and doubly uninfected women).|Incidence of vertical transmission of HIV and ZIKV (in women co-infected with HIV and ZIKV and women infected with either HIV or ZIKV alone).|Incidence of congenital malformations (among offspring of women co-infected with HIV and ZIKV, women infected with either HIV or ZIKV alone, and doubly uninfected women).|Incidence of other adverse outcomes among offspring of women co-infected with HIV and ZIKV, women infected with either HIV or ZIKV alone.|Growth, as measured by length, weight, and head circumference (among children with in utero exposure to HIV and ZIKV, in utero exposure to either HIV or ZIKV alone, and no in utero exposure to either virus).|Audiologic function as assessed by hearing levels, acoustic immitance, and otoacoustic emissions (among children with in utero exposure to HIV and ZIKV, in utero exposure to either HIV or ZIKV alone, and no in utero exposure to either virus).|Ophthalmologic structure and function as assessed by ophthalmoscopy, fixation, and acuity card testing (among children with in utero exposure to HIV and ZIKV, in utero exposure to either HIV or ZIKV alone, and no in utero exposure to either virus).|Neurodevelopment as assessed by the Bayley III and Ages and Stages Questionnaires- 3rd Edition (among children with in utero exposure to HIV and ZIKV, in utero exposure to either HIV or ZIKV alone, and no in utero exposure to either virus).","Westat|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute of Allergy and Infectious Diseases (NIAID)","Female","15 Years and older   (Child, Adult, Older Adult)",,"395","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","HIV-ZIP","August 23, 2017","August 2020","August 2020","August 28, 2017",,"February 5, 2020","University of Miami Pediatric/Prenatal HIV/AIDS, Miami, Florida, United States|Bronx-Lebanon Hospital Center NICHD CRS, Bronx, New York, United States|Baylor College of Medicine; Texas Children's Hospital, Houston, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|SOM Federal University Minas Gerais Brazil NICHD CRS, Belo Horizonte, Minas Gerais, Brazil|Hospital Federal dos Servidores do Estado NICHD CRS, Rio de Janeiro, Brazil|Instituto de Puericultura e Pediatria Martagao Gesteira - UFRJ NICHD CRS, Rio de Janeiro, Brazil|Hosp. Geral De Nova Igaucu Brazil NICHD CRS, Rio de Janeiro, Brazil|University of Sao Paulo at Riberaio Preto Brazil, São Paulo, Brazil|University of Puerto Rico Pediatrics HIV/AIDS Research Program, San Juan, Puerto Rico|San Juan City Hosp. PR NICHD CRS, San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT03263195"
23,"NCT03393286","ZIKAlliance Children Cohort (ZIKAllianceCH)","ZIKAllianceCH","Recruiting","No Results Available","Zika Virus",,"Congenital Abnormalities detected after birth as defined by the evolving definition of the congenital zika syndrome|Hearing abnormalities measured after birth|Visual abnormalities measured after birth|Developmental / cognitive abnormalities measured by the Ages and Stages 3rd Edition (ASQ3)|Developmental / cognitive abnormalities measured by the Bayley Scales of Infant and Toddler Development, Third Edition (BSID-III)","University of Heidelberg Medical Center","All","up to 6 Months   (Child)",,"5000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","734548CH (EC   H2020   RIA)","January 15, 2018","September 30, 2019","September 30, 2020","January 8, 2018",,"May 10, 2019","Sosecali Ltd. (SOSE), Guaqui, Bolivia|Fundacao Oswaldo Cruz (FIOCRUZ), Recife, Brazil|Fundacao Oswaldo Cruz (FIOCRUZ), Rio de Janeiro, Brazil|University of Sao Paulo, São Paulo, Brazil|Industrial University of Santander (UIS), Bucaramanga, Colombia|Pedro Kouri Institute (IPK), Havana, Cuba|INSERM, Pointe-à-Pitre, Guadeloupe|IMSS Mexico (IMSS), Guadalajara, Mexico|National Institute of Public Health (INSP), Mérida, Mexico|Universidad de Carabobo / UMC Groningen (UMCG), Valencia, Venezuela",,"https://ClinicalTrials.gov/show/NCT03393286"
24,"NCT02733796","Persistence of Zika Virus in Semen After Acute Infection",,"Active, not recruiting","No Results Available","Zika Virus|Zika Virus Disease|Virus Shedding|Transmission",,"Incidence rate of ZIKV persistence in semen|kinetics of ZIKV persistence in semen|replication fitness of ZIKV in semen|comparison of ZIKV sequences from semen vs. non-semen samples","Institute of Tropical Medicine, Belgium","Male","18 Years to 80 Years   (Adult, Older Adult)",,"15","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","B300201628191","March 2016","January 2019","January 2019","April 12, 2016",,"April 12, 2018","ITM, Antwerp, Belgium",,"https://ClinicalTrials.gov/show/NCT02733796"
25,"NCT03330600","Efficacy of Aquatic Physiotherapy in Children With Microcephaly by Zika Virus Congenital Syndrome",,"Completed","No Results Available","Zika Virus Infection|Microcephaly","Behavioral: aquatic physicotherapy|Behavioral: immersion","change in Modified Tardieu Scale|change in heart rate|change in respiratory frequency|change in oxygen saturation|change in body temperature","Universidade Federal de Pernambuco","All","3 Months to 24 Months   (Child)","Not Applicable","12","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","Projeto Milena LEPed","June 1, 2017","February 18, 2018","October 30, 2018","November 6, 2017",,"May 7, 2019","Universidade Federal de Pernambuco, Recife, Pernambuco, Brazil",,"https://ClinicalTrials.gov/show/NCT03330600"
26,"NCT02916732","Zika Virus Infection's Pregnancy Consequences in French Department of America","ZIKA-DFA-FE","Unknown status","No Results Available","Incidence of ZIKV Infection on Fetus During the Pregnancy",,"Incidence of ZIKV infection during pregnancy|Incidence of microcephaly and other fetal abnormalities","Institut National de la Santé Et de la Recherche Médicale, France","Female","18 Years to 60 Years   (Adult)",,"26980","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","C16-08|2016-A00399-42","April 2016","January 2018","January 2019","September 27, 2016",,"September 27, 2016","CH Andrée Rosemon (CHAR), Cayenne Cedex, France|CHU de Martinique, Fort de France Cedex, France|CHU de Pointe à Pitre/Les Abymes, Pointe A Pitre, France|CH de l'Ouest Guyanais Franck Joly (CHOG), Saint-laurent-du-maroni, France",,"https://ClinicalTrials.gov/show/NCT02916732"
27,"NCT03443830","Safety and Tolerability of an Antibody Against Zika Virus (Tyzivumab) in Humans",,"Completed","No Results Available","Treatment of Acute Zika Virus Infection","Drug: Tyzivumab","Incidence of Treatment-Emergent Adverse Event (Safety and Tolerability)|Maximum Concentration (Cmax) - Pharmacokinetic Assessment|Time to Maximum Concentration (Tmax) - Pharmacokinetic Assessment|Area Under the Curve Extrapolated to Infinity (AUC0-∞) - Pharmacokinetic Assessment|AUC calculated from time of administration to the last measurable concentration (AUC0-last) - Pharmacokinetic Assessment|Half-Life (t1/2) - Pharmacokinetic Assessment|Volume of Distribution (Vd) - Pharmacokinetic Assessment|Clearance [CL] - Pharmacokinetic Assessment|Anti-Drug Antibody Assessment","Tychan Pte Ltd.|Duke-NUS Graduate Medical School|Singapore Clinical Research Institute|National University, Singapore|National University Hospital, Singapore","All","21 Years to 45 Years   (Adult)","Phase 1","24","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ZKT-001","February 8, 2018","September 12, 2018","December 4, 2018","February 23, 2018",,"April 10, 2019","SingHealth Investigational Medicine Unit, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT03443830"
28,"NCT03255369","Vertical Exposure to Zika Virus and Its Consequences for Child Neurodevelopment (ZIKVIRUSIFF)","ZIKVIRUSIFF","Unknown status","No Results Available","ZIKA VIRUS INFECTION|Child Development|Microcephaly","Other: Child exposed Zika virus proved","Microcephaly and/or delay in development|ocular injury and cognitive disorder in Bayley Test 3rd edition|Hearing injury and language delay in Bayley Test 3rd edition","Oswaldo Cruz Foundation|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Rio de Janeiro State Research Supporting Foundation (FAPERJ)","All","up to 3 Years   (Child)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","52675616.0.0000.5269","January 2, 2016","December 30, 2018","December 30, 2019","August 21, 2017",,"May 3, 2018","Instituto Fernandes Figueira/Fiocruz, Rio de Janeiro, RJ, Brazil",,"https://ClinicalTrials.gov/show/NCT03255369"
29,"NCT03776695","Safety and Tolerability of an Antibody Against Zika Virus (Tyzivumab) in ZIKV Infected Patients",,"Recruiting","No Results Available","Treatment of Acute Zika Virus Infection","Biological: Tyzivumab|Other: Placebo","Incidence of Treatment-Emergent Adverse Event (Safety and Tolerability)|Viral Clearance Post-Tyzivumab Infusion (Efficacy)","Tychan Pte Ltd.|Singapore Clinical Research Institute|Duke-NUS Graduate Medical School","All","21 Years to 60 Years   (Adult)","Phase 1","28","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","ZKT-002|CTA1800062","October 9, 2018","December 31, 2020","December 31, 2020","December 17, 2018",,"December 17, 2018","SingHealth Investigational Medicine Unit, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT03776695"
30,"NCT04015648","Safety and Immunogenicity of a Candidate ZIKV Vaccine (ZIKA001)",,"Recruiting","No Results Available","Zika|Chikungunya","Biological: ChAdOx1 Zika|Biological: ChAdOx1 Zika, ChAdOx1 Chik","Safety and tolerability of ChAdOx1 Zika given as a standalone vaccine or co-administered with ChAdOx1 Chik at different doses in healthy adult volunteers assessed by the occurrence of solicited adverse events.|Safety and tolerability of ChAdOx1 Zika given as a standalone vaccine or co-administered with ChAdOx1 Chik at different doses in healthy adult volunteers assessed by the occurrence of unsolicited adverse events.|Safety and tolerability of ChAdOx1 Zika given as a standalone vaccine or co-administered with ChAdOx1 Chik at different doses in healthy adult volunteers assessed by the occurrence of serious adverse events.|Safety and tolerability of ChAdOx1 Zika given as a standalone vaccine or co-administered with ChAdOx1 Chik at different doses in healthy adult volunteers assessed by the occurrence of laboratory adverse events.|Measures of humoral immunogenicity to the ChAdOx1 ZIKA and ChAdOx1 CHIK vaccines|Measures of cellular immunogenicity to the ChAdOx1 ZIKA and ChAdOx1 CHIK vaccines","University of Oxford","All","18 Years to 50 Years   (Adult)","Phase 1","57","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ZIKA001","October 21, 2019","July 1, 2021","July 1, 2021","July 11, 2019",,"January 9, 2020","CCVTM, University of Oxford, Churchill Hospital, Oxford, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04015648"
31,"NCT03188731","ZIKAlliance Pregnant Women Cohort","ZIKAlliancePW","Active, not recruiting","No Results Available","Zika Virus|Pregnancy Related",,"Congenital Abnormalities","University of Heidelberg Medical Center|European Union|ZIKAlliance|Oswaldo Cruz Foundation|University of Sao Paulo|London School of Hygiene and Tropical Medicine|Federal University of Bahia|Universidade Federal de Goias|University Medical Center Groningen|University of Carabobo|Universidad Industrial de Santander|Sosecali Hospital, Guyaquil|Tropical Medicine Institute Pedro Kourí, Cuba|Mexican National Institute of Public Health|Instituto Mexicano del Seguro Social|Institut National de la Santé Et de la Recherche Médicale, France|Erasmus Medical Center","Female","16 Years to 45 Years   (Child, Adult)",,"5000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","734548PW (EC   H2020   RIA)","May 24, 2017","September 30, 2019","September 30, 2020","June 15, 2017",,"September 30, 2019","Sosecali Ltd. (SOSE), Guaqui, Bolivia|INSERM, Santa Cruz, Bolivia|Federal University of Bahia (UFB), Bahia, Brazil|Universidade Federal de Minas Gerais, Belo Horizonte, Brazil|Federal University of Goias, Goiás, Brazil|Fundacao Oswaldo Cruz (FIOCRUZ), Recife, Brazil|Fundacao Oswaldo Cruz (FIOCRUZ), Rio de Janeiro, Brazil|University of Sao Paulo, São Paulo, Brazil|Industrial University of Santander (UIS), Bucaramanga, Colombia|Pedro Kouri Institute (IPK), Havana, Cuba|INSERM, Pointe-à-Pitre, Guadeloupe|IMSS Mexico (IMSS), Guadalajara, Mexico|National Institute of Public Health (INSP), Mérida, Mexico|Universidad de Carabobo / UMC Groningen (UMCG), Valencia, Venezuela",,"https://ClinicalTrials.gov/show/NCT03188731"
32,"NCT02831699","The Evaluation of Potential Zika, Chikungunya, and Dengue Infections in Mexico","Zik01","Completed","No Results Available","Zika Virus Disease (Disorder)|Dengue|Chikungunya",,"The proportion of subjects that have confirmed Zika, Chikungunya, or Dengue (including co-infections) from the subjects presenting with fever and/or rash in southeastern Mexico.","Mexican Emerging Infectious Diseases Clinical Research Network|Secretaria de Salud, Mexico|National Institute of Allergy and Infectious Diseases (NIAID)","All","1 Year and older   (Child, Adult, Older Adult)",,"600","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","Zik01","June 21, 2016","January 25, 2019","January 25, 2019","July 13, 2016",,"December 20, 2019","Hospital General de Tapachula, Tapachula, Chiapas, Mexico|Hospital Regional de Alta Especialidad Ciudad Salud, Chiapas, Mexico|Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado (ISSSTE) Clínica Hospital Dr. Roberto Nettel Flores, Chiapas, Mexico|Instituto Mexicano del Seguro Social (IMSS) Delegación Estatal / Hospital General de Zona con Medicina Familiar No. 1, Chiapas, Mexico|Instituto Mexicano del Seguro Social (IMSS) Delegación Estatal / Unidad de Medicina Familiar No. 11, Chiapas, Mexico|Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán, Ciudad de México, Mexico",,"https://ClinicalTrials.gov/show/NCT02831699"
33,"NCT03161444","Estimated Cumulative Incidence of Zika Infection at the End of the First Epidemic in the French West Indies in a Sample of Patients Followed for HIV Infection.","ZIKAVIH","Recruiting","No Results Available","HIV Infections|Zika Virus Infection","Other: Biological sample collection","Presence or not of Zika virus-specific immunoglobulin G antibodies in the serum taken after the epidemic|Existence or not of clinical signs evocating of an episode of disease with Zika virus.|Presence or not of Dengue virus specific antibodies before the outbreak of Zika virus infection, sought on the samples taken at the end of the chikungunya epidemic.|Presence or not of Chikungunya-specific antibodies before the outbreak of Zika virus infection, sought after sampling at the end of the chikungunya epidemic.|Evolution of the CD4 lymphocyte levels before and after the outbreak of Zika virus|Evolution of the HIV1 RNA levels before and after the outbreak of Zika virus","University Hospital Center of Martinique|University Hospital of Guadeloupe","All","18 Years and older   (Adult, Older Adult)","Not Applicable","362","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","16/B/06|2016-A01173-48","March 21, 2017","July 2018","December 2018","May 19, 2017",,"March 20, 2018","University Hospital of Martinique, Fort-de-France, France|University Hospital of Guadeloupe, Pointe-à-Pitre, Guadeloupe",,"https://ClinicalTrials.gov/show/NCT03161444"
34,"NCT03204409","ZIKAlliance Natural History Study","ZIKAllianceNH","Suspended","No Results Available","Zika Virus|Zika Virus Infection",,"ZIKA Virus Infection|DENGUE Virus Infection|Chikungunya Virus Infection","University of Heidelberg Medical Center|University of Sao Paulo","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","734548NH (EC   H2020   RIA)","April 1, 2018","December 31, 2019","September 3, 2020","July 2, 2017",,"April 18, 2019","University of Sao Paulo, São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT03204409"
35,"NCT03343626","Safety, Immunogenicity and Dose Ranging Study of Inactivated Zika Virus Vaccine in Healthy Adult Participants",,"Active, not recruiting","No Results Available","Virus, Zika|Zika Virus Disease|Flavivirus Infections|Healthy Participants","Drug: Placebo|Biological: PIZV","Percentage of Participants With Solicited Local Injection Site Reactions Within 7 Days After Dose 1 of PIZV or Placebo|Percentage of Participants With Solicited Local Injection Site Reactions Within 7 Days After Dose 2 of PIZV or Placebo|Percentage of Participants With Solicited Systemic Adverse Events (AEs) Within 7 Days After Dose 1 of PIZV or Placebo|Percentage of Participants With Solicited Systemic AEs Within 7 Days After Dose 2 of PIZV or Placebo|Percentage of Participants who Experience at Least one Non-serious Unsolicited AE Within 28 Days After Dose 1 of PIZV or Placebo|Percentage of Participants who Experience at Least one Non-serious Unsolicited AE Within 28 Days After Dose 2 of PIZV or Placebo|Percentage of Participants who Experience at Least one Serious Adverse Event (SAE) Within 28 Days After Dose 1 of PIZV or Placebo|Percentage of Participants who Experience at Least one Serious Adverse Event (SAE) Within 28 Days After Dose 2 of PIZV or Placebo|Geometric Mean Neutralizing Antibody Titers (GMTs) of Zika Virus (ZIKV) 28 Days After Dose 2 of PIZV or Placebo|Percentage of Participants who Experience at Least one SAE During the Study|Geometric Mean Neutralizing Antibody Titers (GMTs) of ZIKV 28-days After Dose 1, 6, 12 and 24-months After Dose 2 in Applicable Groups|Seropositivity Rate for PIZV 28 Days After Dose 1, 28 Days After Dose 2, 6 Months, 12 Months and 24 Months After Dose 2 in Applicable Groups|Seroconversion Rate for PIZV 28 Days Post Dose 1 and 2","Takeda","All","18 Years to 49 Years   (Adult)","Phase 1","271","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","ZIK-101|U1111-1201-5778","November 13, 2017","December 28, 2018","November 19, 2020","November 17, 2017",,"March 26, 2019","Clinical Research of South Florida, Coral Gables, Florida, United States|Miami Research Associates, Miami, Florida, United States|AppleMed Research, Miami, Florida, United States|Johnson County Clin-Trials, Lenexa, Kansas, United States|Regional Clinical Research Inc., Endwell, New York, United States|Rochester Clinical Research, Rochester, New York, United States|Tekton Research, Austin, Texas, United States|Puerto Rico Clinical and Translational Research Consortium, San Juan, Puerto Rico|Ponce Medical School Foundation, Santurce, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT03343626"
36,"NCT03227601","Effect of a Posture Adapter for 12 to 24-month Children With Zyka Virus Syndrome",,"Unknown status","No Results Available","Zika Virus","Device: posture adapter","Body Alignment|Motor function|Gastrointestinal function|Muscular tonus","Universidade Federal de Pernambuco","All","12 Months to 24 Months   (Child)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1808","July 20, 2017","October 19, 2017","August 31, 2018","July 24, 2017",,"July 24, 2017","Universidade Federal de Pernambuco, Recife, Pernambuco, Brazil",,"https://ClinicalTrials.gov/show/NCT03227601"
37,"NCT02794181","Zika Virus and Related Arbovirus Infections in Deferred Blood Donors (ZVADD)",,"Completed","No Results Available","Zika Virus|Dengue Virus|Chikungunya Virus Infections",,"Prevalence of ZIKV, DENV and CHIKV infection (RNA-positives) among travel-deferred adult blood donors in the study population.|Prevalence of ZIKV infection (RNApositives) among adult blood donors with a history of potential sexual exposure to ZIKV infection, in the study population.|24-week Natural History of ZIKV, DENV and CHIKV (RNA-positives).","National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)",,"34","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","160124|16-CC-0124","June 8, 2016","March 14, 2019","March 14, 2019","June 9, 2016",,"March 18, 2019","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02794181"
38,"NCT04118738","International Cohort Study of Children Born to Women Infected With Zika Virus During Pregnancy",,"Recruiting","No Results Available","Zika|Neurodevelopmental Abnormality|Hearing Loss|Growth Delay|Eye Abnormalities",,"Neurodevelopmental outcome at age18 months|Neurodevelopmental outcome at age 24 months|Neurodevelopmental outcome at age 30 months|Neurodevelopmental outcome at age 36 months|Neurodevelopmental outcome at age 42 months|Anthropometric Measurements: Height|Anthropometric Measurements: Weight|Anthropometric Measurements: Head circumference|Anthropometric Measurements: Mid upper arm circumference|Hearing assessment by Otoacustic Emissions (OAE) and Visual Reinforcement Audiometry (VRA)|Comprehensive ophthalmologic evaluation.","Westat|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute of Allergy and Infectious Diseases (NIAID)|Oswaldo Cruz Foundation (Fiocruz)","All","18 Months to 42 Months   (Child)",,"400","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","ZIP 2.0","June 12, 2019","July 2021","July 2021","October 8, 2019",,"October 8, 2019","Departamento de Medicina Tropical da Universidade Federal de Pernambuco- UFPE, Recife, Pernambuco, Brazil|Instituto Fernandes Figueira - FIOCRUZ, Rio De Janeiro, Brazil|Asociación Civil Selva Amazónica, Iquitos, Loreto, Peru|Puerto Rico Medical Center- Maternal Infant Studies Center (CEMI), San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT04118738"
39,"NCT03776903","Evaluation of the Clinical Performance of the ZIKV Detect™ 2.0 IgM Capture ELISA",,"Completed","No Results Available","Zika Virus Infection","Other: ZIKV Detect™ 2.0 IgM Capture ELISA","Positive Percent Agreement and Negative Percent Agreement|Duration of Positive Percent Agreement","InBios International, Inc.|Fast-Track Drugs & Biologics, LLC|Biomedical Advanced Research and Development Authority","All","Child, Adult, Older Adult",,"600","Industry|Other|U.S. Fed","Observational","Observational Model: Cohort|Time Perspective: Other","ZIKV-2016-01","April 1, 2018","August 31, 2018","September 30, 2018","December 17, 2018",,"December 17, 2018","InBios International, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT03776903"
40,"NCT02874456","Pilot Study to Detect Zika Virus in Sperm","ZIKSPERM","Completed","No Results Available","Viruses","Other: virus detection","presence of Zika virus on RNA by polymerase chain reaction","University Hospital, Toulouse|Centre Hospitalier Universitaire de Pointe-a-Pitre|Institut Pasteur","Male","18 Years to 45 Years   (Adult)","Not Applicable","15","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","RC31/16/7941","May 6, 2016","December 2017","December 2017","August 22, 2016",,"July 19, 2019","University Hospital, Pointe-à-Pitre, Guadeloupe",,"https://ClinicalTrials.gov/show/NCT02874456"
41,"NCT02943304","Neurodevelopment Outcome of Newborns Exposed to Zika Virus (ZIKV) in Utero","ZEN Iniciative","Recruiting","No Results Available","Microcephaly|Mental Retardation","Other: Symptomatic pregnant women with positive RT-PCR ZIKV in serum or urine, or a positive serologic test specific for ZIKV","Neurodevelopmental Outcome|Fetal CNS Impairment","Universidad Industrial de Santander|University of North Carolina, Chapel Hill|Michigan State University","Female","13 Years to 50 Years   (Child, Adult)",,"440","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","4110","May 2016","December 2019","December 2020","October 24, 2016",,"January 17, 2019","Hospital Universitario de Santander, Bucaramanga, Santander, Colombia",,"https://ClinicalTrials.gov/show/NCT02943304"
42,"NCT03110770","VRC 705: A Zika Virus DNA Vaccine in Healthy Adults and Adolescents","DNA","Completed","No Results Available","Zika Virus|Zika Virus Infection|Virus Diseases|Flavivirus Infections|Flaviviral Diseases|Flaviviridae Infections|RNA Virus Infections","Biological: VRC-ZKADNA090-00-VP|Other: VRC-PBSPLA043-00-VP","Local Reactogenicity (Part A and B)|Systemic Reactogenicity (Part A and B)|Laboratory measures (Part A)|Laboratory measures (Part B)|Serious adverse events (Part A)|Serious adverse events (Part B)|New chronic medical conditions (Part A)|New chronic medical conditions (Part B)|Confirmed cases of Dengue virus infection (Part A)|Confirmed cases of Dengue virus infection (Part B)|Unsolicited adverse events (Part A and B)|Confirmed cases of Zika with symptoms (Part B only)|Antibody response to VRC-ZKADNA090-00-VP (Part A and B)|Confirmed cases of Zika (Part B only)","National Institute of Allergy and Infectious Diseases (NIAID)|The Emmes Company, LLC|Leidos Biomedical Research, Inc.|FHI Clinical, Inc.|PPD","All","15 Years to 35 Years   (Child, Adult)","Phase 2","2338","NIH|Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","VRC 705","March 29, 2017","October 4, 2019","October 4, 2019","April 12, 2017",,"December 24, 2019","QPS-Miami Research Associates, Miami, Florida, United States|Doctors Hospital at Renaissance, Edinburg, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Hospital Das Clinicas Da Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brazil|Centro de Pesquisas Clínicas Do Instituto Central Do Hospital Das Clínicas Da FMUSP, São Paulo, SP, Brazil|Clinica de la Costa Ltda, Barranquilla, Atlantico, Colombia|Centro de Atencion y Diagnostico de Enfermedades Infecciosas, Bucaramanga, Santander, Colombia|CCIM Costa Rican Center Center of Medical Research, Sociedad Anonima, San José, Los Yoses, Costa Rica|AGA Clinical Centro de Investigaciones, Guayaquil, Guayas, Ecuador|Hospital Civil Fray Antonio Alcalde, Guadalajara, Jalisco, Mexico|Instituto Conmemorativo Gorgas, Panamá, San Miguelito Province, Panama|Asociacion Civil Selva Amazonica, Iquitos, Maynas/Loreto, Peru|Unidad de Ensayos (UNIDEC) del Policlinico Universidad Nacional Mayor de San Marcos, Lima, Peru|Ponce Medical School Foundation Inc./CAIMED Center, Ponce, Puerto Rico|Fundación de Investigación de Diego, San Juan, Puerto Rico|San Juan Hospital Research Unit, San Juan, Puerto Rico|Puerto Rico Clinical and Translational Research Consortium, San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT03110770"
43,"NCT03922594","Surveillance of Zika-related Microcephaly in Sub-Saharan Africa and Asia",,"Recruiting","No Results Available","Microcephaly|Congenital Infection","Diagnostic Test: Differential diagnosis for infectious causes of microcephaly","Incidence of microcephaly (per 10,000 live births)|Proportion of microcephaly attributable to ZIKV|Proportion of microcephaly linked to other infectious etiologies","Institut Pasteur|Centre Pasteur du Cameroun|Guangzhou Women and Children's Medical Center|Institut Pasteur de Côte d'Ivoire|Institut Pasteur Ho Chi Minh City|Tu Du Hospital|Perinatal Society of Sri Lanka|University of Colombo|University of Lausanne|University of Lausanne Hospitals|The University of Hong Kong|Ministry of Health of Sri Lanka|Central Hospital Maternity|Essos Hospital Center|Guangzhou Baiyun Maternal and Child Health Hospital|General Hospital of Yopougon-Attie|General Hospital Abobo-Sud|Castle Street Hospital for Women|De Soyza Hospital for Women","All","up to 2 Days   (Child)",,"125","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","ZIKA_2016-102","May 20, 2019","June 2021","June 2021","April 22, 2019",,"June 25, 2019","Central Hospital Maternity, Yaoundé, Cameroon|Essos Hospital Centre Maternity, Yaoundé, Cameroon|Guangzhou Women's and Children's Hospital, Guangzhou, China|General Hospital Abobo-Sud, Abidjan, Côte D'Ivoire|General Hospital of Yopougon-Attie, Abidjan, Côte D'Ivoire|Castle Street Hospital for Women, Colombo, Sri Lanka|De Soyza Hospital for Women, Colombo, Sri Lanka|Tu Du Hospital, Ho Chi Minh City, Vietnam",,"https://ClinicalTrials.gov/show/NCT03922594"
