"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
64,"NCT03350191","A Clinical Study to Investigate if SAR425899 Binds to the Liver and Pancreas in Overweight to Obese Type 2 Diabetes Mellitus Patients",,"Completed","No Results Available","Type 2 Diabetes Mellitus","Drug: SAR425899|Drug: [68Ga] Ga-DO3A-VS-Cys40-Tuna-2 (glucagon receptor tracer)|Drug: [68Ga] Ga-DO3A-VS-Cys40-Exendin-4 (GLP-1 receptor tracer)","Glucagon receptor occupancy|GLP-1 receptor occupancy|Adverse events|Pharmacokinetics|Change in fasting plasma glucose (FPG)|Change in ketone bodies|Change lipid biomarkers|Change in volume of distribution (Vt) in the liver|Change in Vt in the pancreas|Average standard uptake values (SUVs) of PET tracers in the liver and pancreas","Sanofi|Antaros Medical AB","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","13","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","PDY15264|2017-001789-23","December 20, 2017","June 7, 2018","June 7, 2018","November 22, 2017",,"October 11, 2018","Investigational Site Number 7520001, Uppsala, Sweden",,"https://ClinicalTrials.gov/show/NCT03350191"
65,"NCT01861249","Long Term Safety And Tolerability Of SAR339658 In Patients With Ulcerative Colitis (UC)",,"Terminated","No Results Available","Ulcerative Colitis","Drug: SAR339658","Percentage of participants with Adverse Events|Percentage of participants with abnormal safety parameters (laboratory data and vital signs)|Proportion of participants with Clinical Remission by Mayo Score|Proportion of participants with Mucosal Healing|Change from baseline in the partial Mayo Score|Change from baseline in Inflammatory Bowel Disease Questionnaire (IBDQ)","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 2","6","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LTS12593|2013-001012-30|U1111-1141-4634","July 2013","May 2014","April 2016","May 23, 2013",,"July 13, 2016","Investigational Site Number 840059, Mission Hills, California, United States|Investigational Site Number 840008, Miramar,, Florida, United States|Investigational Site Number 840048, Winter Park, Florida, United States|Investigational Site Number 840024, Mexico, Missouri, United States|Investigational Site Number 840088, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01861249"
66,"NCT02273180","Comparison of SAR342434 to Humalog as the Rapid Acting Insulin in Adult Patients With Type 1 Diabetes Mellitus Also Using Insulin Glargine","SORELLA1","Completed","Has Results","Type 1 Diabetes Mellitus","Drug: SAR342434|Drug: Humalog|Drug: Insulin glargine HOE901","Change in HbA1c From Baseline to Week 26|Percentage of Participants With HbA1c <7.0% at Week 26|Change in Fasting Plasma Glucose (FPG) From Baseline to Week 26|Change in Mean 24-Hour Plasma Glucose Concentration From Baseline to Week 26|Change in Post Prandial Plasma Glucose (PPG) Excursion From Baseline to Week 26|Number of Hypoglycemia Events (Any Hypoglycemia, Documented Symptomatic Hypoglycemia and Severe Hypoglycemia) Per Participant-Year|Percentage of Participants With Hypersensitivity Reactions and Injection Site Reactions|Percentage of Participants With Treatment Emergent Anti-insulin Antibodies (AIAs)","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 3","507","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EFC12619|2013-002945-12|U1111-1131-5038","October 2014","December 2015","July 2016","October 23, 2014","January 18, 2018","January 18, 2018","Investigational Site Number 840049, Tucson, Arizona, United States|Investigational Site Number 840016, Bell Gardens, California, United States|Investigational Site Number 840048, Chula Vista, California, United States|Investigational Site Number 840046, Concord, California, United States|Investigational Site Number 840039, Fresno, California, United States|Investigational Site Number 840028, La Jolla, California, United States|Investigational Site Number 840022, Ventura, California, United States|Investigational Site Number 840003, Denver, Colorado, United States|Investigational Site Number 840037, Denver, Colorado, United States|Investigational Site Number 840005, Bradenton, Florida, United States|Investigational Site Number 840061, Miami Lakes, Florida, United States|Investigational Site Number 840057, Miami Lakes, Florida, United States|Investigational Site Number 840050, Miami, Florida, United States|Investigational Site Number 840042, Miami, Florida, United States|Investigational Site Number 840006, New Port Richey, Florida, United States|Investigational Site Number 840013, North Miami Beach, Florida, United States|Investigational Site Number 840031, Port Charlotte, Florida, United States|Investigational Site Number 840036, Atlanta, Georgia, United States|Investigational Site Number 840045, Roswell, Georgia, United States|Investigational Site Number 840020, Idaho Falls, Idaho, United States|Investigational Site Number 840019, Chicago, Illinois, United States|Investigational Site Number 840033, Chicago, Illinois, United States|Investigational Site Number 840012, McHenry, Illinois, United States|Investigational Site Number 840004, Des Moines, Iowa, United States|Investigational Site Number 840043, Marrero, Louisiana, United States|Investigational Site Number 840021, Metairie, Louisiana, United States|Investigational Site Number 840038, Baltimore, Maryland, United States|Investigational Site Number 840014, Rockville, Maryland, United States|Investigational Site Number 840060, Great Falls, Montana, United States|Investigational Site Number 840026, Omaha, Nebraska, United States|Investigational Site Number 840040, Omaha, Nebraska, United States|Investigational Site Number 840015, Albuquerque, New Mexico, United States|Investigational Site Number 840054, Albuquerque, New Mexico, United States|Investigational Site Number 840059, Mineola, New York, United States|Investigational Site Number 840030, Burlington, North Carolina, United States|Investigational Site Number 840051, Greenville, North Carolina, United States|Investigational Site Number 840062, Wilmington, North Carolina, United States|Investigational Site Number 840018, Gallipolis, Ohio, United States|Investigational Site Number 840007, Dakota Dunes, South Dakota, United States|Investigational Site Number 840027, Rapid City, South Dakota, United States|Investigational Site Number 840041, Dallas, Texas, United States|Investigational Site Number 840029, Dallas, Texas, United States|Investigational Site Number 840034, Dallas, Texas, United States|Investigational Site Number 840002, Houston, Texas, United States|Investigational Site Number 840011, Chesapeake, Virginia, United States|Investigational Site Number 840023, Tacoma, Washington, United States|Investigational Site Number 840009, Milwaukee, Wisconsin, United States|Investigational Site Number 250002, Corbeil Essonnes, France|Investigational Site Number 250005, Mantes La Jolie, France|Investigational Site Number 250003, Montpellier Cedex 5, France|Investigational Site Number 250001, Vandoeuvre Les Nancy, France|Investigational Site Number 276001, Berlin, Germany|Investigational Site Number 276004, Dortmund, Germany|Investigational Site Number 276006, Hannover, Germany|Investigational Site Number 276002, Heidelberg, Germany|Investigational Site Number 276003, Neumünster, Germany|Investigational Site Number 276008, Pirna, Germany|Investigational Site Number 276007, Potsdam, Germany|Investigational Site Number 276005, Sulzbach-Rosenberg, Germany|Investigational Site Number 348002, Budapest, Hungary|Investigational Site Number 348005, Budapest, Hungary|Investigational Site Number 348003, Budapest, Hungary|Investigational Site Number 348011, Budapest, Hungary|Investigational Site Number 348010, Budapest, Hungary|Investigational Site Number 348001, Budapest, Hungary|Investigational Site Number 348007, Debrecen, Hungary|Investigational Site Number 392006, Chuo-Ku, Japan|Investigational Site Number 392003, Higashiosaka-Shi, Japan|Investigational Site Number 392004, Izumisano-Shi, Japan|Investigational Site Number 392005, Kamakura-Shi, Japan|Investigational Site Number 392001, Shinjuku-Ku, Japan|Investigational Site Number 392002, Yamato-Shi, Japan|Investigational Site Number 616005, Krakow, Poland|Investigational Site Number 616001, Poznan, Poland|Investigational Site Number 616003, Szczecin, Poland|Investigational Site Number 616002, Warszawa, Poland|Investigational Site Number 616004, Zabrze, Poland|Investigational Site Number 643003, Moscow, Russian Federation|Investigational Site Number 643006, Samara, Russian Federation|Investigational Site Number 643002, Saratov, Russian Federation|Investigational Site Number 643004, St-Petersburg, Russian Federation|Investigational Site Number 643001, St-Petersburg, Russian Federation|Investigational Site Number 643005, St-Petersburg, Russian Federation|Investigational Site Number 643007, Tomsk, Russian Federation|Investigational Site Number 724002, A Coruña, Spain|Investigational Site Number 724001, Cáceres, Spain|Investigational Site Number 724004, Lérida, Spain|Investigational Site Number 724005, Málaga, Spain|Investigational Site Number 724003, Sabadell, Spain",,"https://ClinicalTrials.gov/show/NCT02273180"
67,"NCT01392924","Safety and Pharmacokinetics of SAR245408 Daily Oral in Patients With Solid Tumors",,"Completed","No Results Available","Neoplasm Malignant","Drug: SAR245408","Dose limiting toxicity in cycle 1|Number of treatment emergent adverse events|Number of serious adverse events|Number of abnormality of laboratory test as graded by National Cancer Institute-Common Toxicity Criteria|Pharmacokinetics (Cmax) of SAR245408|Pharmacokinetics (tmax) of SAR245408|Pharmacokinetics (AUC) of SAR245408|Pharmacokinetics (accumulation ratio) of SAR245408|Pharmacokinetics (Ctrough) of SAR245408|Objective tumor response as defined by RECIST (response evaluation criteria in solid tumors)","Sanofi","All","20 Years and older   (Adult, Older Adult)","Phase 1","10","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TED11883|U1111-1118-9727","August 2011","February 2012","November 2014","July 13, 2011",,"December 3, 2014","Investigational Site Number 392002, Kobe-Shi, Japan|Investigational Site Number 392001, Nagoya-Shi, Japan",,"https://ClinicalTrials.gov/show/NCT01392924"
68,"NCT01470456","Combination of SAR3419 and Rituximab in Relapsed/Refractory Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Diffuse Large B-Cell Lymphoma","Drug: SAR3419|Drug: rituximab","Number of participants achieving an Objective Response Rate|Number of participants with Adverse Events|Response Duration -Time|Progression Free Survival -Time|Overall survival -Time","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 2","50","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TCD12333|2011-002865-39|U1111-1120-0315","November 2011","July 2013","September 2014","November 11, 2011",,"November 13, 2014","Investigational Site Number 040002, Graz, Austria|Investigational Site Number 250004, Creteil Cedex, France|Investigational Site Number 250009, Dijon, France|Investigational Site Number 250006, Lille Cedex, France|Investigational Site Number 250011, Marseille Cedex 9, France|Investigational Site Number 250010, Montpellier, France|Investigational Site Number 250008, Nantes Cedex 01, France|Investigational Site Number 250007, Paris Cedex 10, France|Investigational Site Number 250001, Pierre Benite Cedex, France|Investigational Site Number 250005, Rennes, France|Investigational Site Number 250003, Rouen Cedex, France|Investigational Site Number 250002, Villejuif Cedex, France|Investigational Site Number 578001, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT01470456"
69,"NCT01420783","Study With SAR302503 in Patients With Polycythemia Vera or Essential Thrombocythemia",,"Completed","No Results Available","Hematopoietic Neoplasm","Drug: SAR302503","Dose Ranging Phase: Proportion of PV patients with absence of phlebotomy and hematocrit below 45% and proportion of ET patients with a platelet count ≤ 400 x 10x9/L for a minimum of 3 months during the first 8 cycles of therapy.|PV Dose Expansion Phase: Proportion of PV patients with absence of phlebotomy eligibility beginning at Day 1 of Cycle 4 visit and continuing through Day 1 of Cycle 6 visit.|ET Dose Ranging Phase (only 600 mg dose group): Proportion of ET patients with a platelet count ≤400 x 10x9/L beginning at Day 1 of Cycle 4 visit and continuing through Day 1 of Cycle 6 visit.|Proportion of PV patients with absence of phlebotomy eligibility beginning at Day 1 of Cycle 4 visit through Cycle 8 (for PV dose expansion phase only).|Proportion of ET patients with platelet count ≤400 x 10x9/L beginning at Day 1 of Cycle 4 visit and continuing through Cycle 8.|Characterization of clinicohematologic response (CR, PR, and no Response) defined by European LeukemiaNet beginning at Day 1 of Cycle 6 visit through Cycle 8.|Percent change in spleen volume (per Magnetic Resonance Imaging (MRI)) at the end of Cycles 4 and 8 or end of treatment (EOT) relative to baseline.|Proportion of patients with a ≥ 35% reduction in spleen volume (per Magnetic Resonance Imaging (MRI)) at the end of Cycles 4 and 8 or end of treatment (EOT) relative to baseline.|Number of participants who have changes in histological, cytogenetic, and molecular responses in bone marrow.|Response (defined as either a 2-point improvement in or resolution of a symptom present at baseline) at the end of Cycles 1, 4, and 8 or end of treatment (EOT), as measured by the Myeloproliferative Neoplasm Symptom Assessment Form (MPN-SAF).|Cumulative Distribution Function of responses between treatment groups at the end of Cycles 1, 4, and 8 or EOT on the MPN-SAF.|For each MPN-associated symptom present at baseline on the MPN-SAF, proportion of patients with resolution of that symptom at the end of Cycles 1, 4, and 8.|To measure generic health-related quality of life and utility values using the EQ-5D questionnaire after completion of 8 cycles of therapy.|Characterization of the safety profile of SAR302503, including the frequency, duration, and severity of adverse events graded using the National Cancer Institute (NCI) - CTCAE version 4.03, clinical laboratory parameters, ECG, and vital signs.","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 2","81","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ARD12042|2011-001847-58|U1111-1121-4203","October 2011","November 2012","May 2014","August 22, 2011",,"March 17, 2016","Investigational Site Number 840008, Scottsdale, Arizona, United States|Investigational Site Number 840004, La Jolla, California, United States|Investigational Site Number 840005, Los Angeles, California, United States|Investigational Site Number 840011, Palo Alto, California, United States|Investigational Site Number 840010, Ann Arbor, Michigan, United States|Investigational Site Number 840007, Rochester, Minnesota, United States|Investigational Site Number 840003, St Louis, Missouri, United States|Investigational Site Number 840001, Houston, Texas, United States|Investigational Site Number 036001, Clayton, Australia|Investigational Site Number 036002, Kingswood, Australia|Investigational Site Number 036004, Kogarah, Australia|Investigational Site Number 036003, Randwick, Australia|Investigational Site Number 124002, Montreal, Canada|Investigational Site Number 124003, Toronto, Canada|Investigational Site Number 124001, Vancouver, Canada|Investigational Site Number 250004, Brest, France|Investigational Site Number 250003, Marseille, France|Investigational Site Number 250001, Paris Cedex 10, France|Investigational Site Number 276004, Frankfurt Am Main, Germany|Investigational Site Number 276003, Mannheim, Germany|Investigational Site Number 380003, Bologna, Italy|Investigational Site Number 380001, Firenze, Italy|Investigational Site Number 380004, Orbassano, Italy|Investigational Site Number 410001, Seongnam, Korea, Republic of|Investigational Site Number 410003, Seoul, Korea, Republic of|Investigational Site Number 410004, Seoul, Korea, Republic of|Investigational Site Number 410002, Seoul, Korea, Republic of|Investigational Site Number 724004, Badalona, Spain|Investigational Site Number 724001, Barcelona, Spain|Investigational Site Number 724003, Madrid, Spain|Investigational Site Number 724002, Valencia, Spain|Investigational Site Number 826001, Belfast, United Kingdom|Investigational Site Number 826006, Birmingham, United Kingdom|Investigational Site Number 826003, London, United Kingdom|Investigational Site Number 826004, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01420783"
70,"NCT04059484","Phase 2 Study of SAR439859 Versus Physician's Choice in Premenopausal and Postmenopausal Locally Advanced or Metastatic ER-positive Breast Cancer",,"Recruiting","No Results Available","Breast Cancer Metastatic","Drug: SAR439859|Drug: Endocrine monotherapy as per physician choice","Progression free survival (PFS)|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Clinical Benefit Rate (CBR)|Duration of Response (DOR)|PFS according to (ESR1) mutation status|Overall Survival (OS)|Assessments of the Pharmacokinetic (PK) parameter of SAR439859: Plasma Concentrations|Patient Reported Outcome (PRO) - health-related quality of life and health status using the European Quality of Life-5 Dimensions (EQ-5D)|Patient Reported Outcome (PRO) - the European Organisation for Research and Treatment of Cancer core quality of life questionnaire (EORTC-QLQ-C30)|Patient Reported Outcome (PRO) - EORTC-QLQ breast cancer (EORTC-QLQ-BR23)|Overall safety profile - Treatment-Emergent Adverse events","Sanofi","Female","18 Years and older   (Adult, Older Adult)","Phase 2","282","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ACT16105|2018-004593-98|U1111-1217-2774","October 22, 2019","February 2021","August 2022","August 16, 2019",,"January 22, 2020","Investigational Site Number 8400008, Birmingham, Alabama, United States|Investigational Site Number 8400018, Bakersfield, California, United States|Investigational Site Number 8400012, Tinley Park, Illinois, United States|Investigational Site Number 8400031, Urbana, Illinois, United States|Investigational Site Number 8400015, Boston, Massachusetts, United States|Investigational Site Number 8400003, Billings, Montana, United States|Investigational Site Number 8400025, Hackensack, New Jersey, United States|Investigational Site Number 8400030, Pinehurst, North Carolina, United States|Investigational Site Number 8400006, Canton, Ohio, United States|Investigational Site Number 8400001, Philadelphia, Pennsylvania, United States|Investigational Site Number 8400023, Pittsburgh, Pennsylvania, United States|Investigational Site Number 8400022, Fort Worth, Texas, United States|Investigational Site Number 8400026, Burlington, Vermont, United States|Investigational Site Number 0320004, La Rioja, Argentina|Investigational Site Number 0320005, Rosario, Argentina|Investigational Site Number 0360001, Nedlands, Australia|Investigational Site Number 0360003, South Brisbane, Australia|Investigational Site Number 0360002, Woolloongabba, Australia|Investigational Site Number 0760001, Porto Alegre, Brazil|Investigational Site Number 1240004, Calgary, Canada|Investigational Site Number 2500006, Creteil Cedex, France|Investigational Site Number 2500007, Marseille, France|Investigational Site Number 2500005, Paris Cedex 10, France|Investigational Site Number 2500002, Saint-Herblain, France|Investigational Site Number 2500001, Villejuif Cedex, France|Investigational Site Number 3800002, Milano, Italy|Investigational Site Number 3800003, Prato, Italy|Investigational Site Number 3920001, Kashiwa-Shi, Japan|Investigational Site Number 4840002, Monterrey, Mexico|Investigational Site Number 4840006, Veracruz, Mexico|Investigational Site Number 8400028, Hato Rey, Puerto Rico|Investigational Site Number 6430001, Moscow, Russian Federation|Investigational Site Number 6430003, Moscow, Russian Federation|Investigational Site Number 6430002, Saint -Petersburg, Russian Federation|Investigational Site Number 6430004, Saint-Petersburg, Russian Federation|Investigational Site Number 1580003, Tainan, Taiwan|Investigational Site Number 7920004, Ankara, Turkey|Investigational Site Number 7920002, Edirne, Turkey|Investigational Site Number 7920001, Istanbul, Turkey|Investigational Site Number 7920003, Istanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04059484"
71,"NCT03637764","Safety, Preliminary Efficacy and PK of Isatuximab (SAR650984) Alone or in Combination With Atezolizumab in Patients With Advanced Malignancies",,"Recruiting","No Results Available","Neoplasm","Drug: Isatuximab SAR650984|Drug: Atezolizumab","Dose Limiting Toxicities (DLTs)|Adverse events (AEs)|Maximum tolerated dose (MTD)|Recommended Phase 2 dose (RP2D)|Response Rate|Progression free survival|Immunogenicity: isatuximab|Immunogenicity: atezolizumab|Tumor burden change|Disease control rate|Duration of response|Progress free survival|Pharmacokinetic (PK) parameters: Area under the curve (AUC0-T)|Assessment of PK parameter: Cmax|Assessment of PK parameter: tmax","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","350","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ACT15377|2018-000390-67|U1111-1202-0839","August 6, 2018","April 2024","April 2024","August 20, 2018",,"November 19, 2019","Investigational Site Number 8400003, Los Angeles, California, United States|Investigational Site Number 8400004, Santa Monica, California, United States|Investigational Site Number 8400207, Boston, Massachusetts, United States|Investigational Site Number 8400007, Boston, Massachusetts, United States|Investigational Site Number 8400107, Boston, Massachusetts, United States|Investigational Site Number 8400001, Hackensack, New Jersey, United States|Investigational Site Number 8400006, Philadelphia, Pennsylvania, United States|Investigational Site Number 8400002, Houston, Texas, United States|Investigational Site Number 8400005, Seattle, Washington, United States|Investigational Site Number 0560001, Bruxelles, Belgium|Investigational Site Number 0560002, Gent, Belgium|Investigational Site Number 1240002, Edmonton, Canada|Investigational Site Number 1240001, Toronto, Canada|Investigational Site Number 2030001, Brno, Czechia|Investigational Site Number 2030003, Olomouc, Czechia|Investigational Site Number 2030002, Praha 2, Czechia|Investigational Site Number 2030004, Praha 8, Czechia|Investigational Site Number 2500003, Bordeaux Cedex, France|Investigational Site Number 2500005, Rennes Cedex, France|Investigational Site Number 2500001, Villejuif Cedex, France|Investigational Site Number 3000002, Patra, Greece|Investigational Site Number 3800007, Meldola, Italy|Investigational Site Number 3800009, Milano, Italy|Investigational Site Number 3800006, Napoli, Italy|Investigational Site Number 3800004, Padova, Italy|Investigational Site Number 3800002, Pavia, Italy|Investigational Site Number 3800005, Roma, Italy|Investigational Site Number 3800003, Rozzano, Italy|Investigational Site Number 5280001, Rotterdam, Netherlands|Investigational Site Number 7240001, Barcelona, Spain|Investigational Site Number 7240002, Barcelona, Spain|Investigational Site Number 7240006, Hospitalet De Llobregat, Spain|Investigational Site Number 7240009, Madrid, Spain|Investigational Site Number 7240003, Madrid, Spain|Investigational Site Number 7240007, Madrid, Spain|Investigational Site Number 7240004, Madrid, Spain|Investigational Site Number 7240008, Pamplona, Spain|Investigational Site Number 1580005, Kaohsiung, Taiwan|Investigational Site Number 1580002, Tainan, Taiwan|Investigational Site Number 1580001, Taipei 100, Taiwan|Investigational Site Number 1580003, Taipei, Taiwan|Investigational Site Number 1580006, Taipei, Taiwan|Investigational Site Number 1580004, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT03637764"
72,"NCT01657214","Phase I, Dose Escalation of SAR125844 in Asian Solid Tumor Patients","SARMETA","Completed","No Results Available","Neoplasm Malignant","Drug: SAR125844","- DOSE ESCALATION To determine the maximum tolerated dose (MTD) of SAR125844|- EXPANSION Cohort To evaluate the preliminary anti-tumoral effect of SAR125844|Number of patients with treatment emergent events|Assessment of PK parameter Cmax|Assessment of PK parameter AUCs|Assessment of PK parameter CL|Assessment of PD parameter ShedMET|Assessment of PD parameter HGF","Sanofi","All","20 Years and older   (Adult, Older Adult)","Phase 1","70","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TED12337|U1111-1126-7527","September 2012","January 2016","January 2016","August 6, 2012",,"February 17, 2016","Investigational Site Number 392001, Kashiwa-Shi, Japan|Investigational Site Number 392004, Suita-Shi, Japan|Investigational Site Number 392002, Sunto-Gun, Japan|Investigational Site Number 392003, Takatsuki-Shi, Japan|Investigational Site Number 410001, Seoul, Korea, Republic of|Investigational Site Number 410004, Seoul, Korea, Republic of|Investigational Site Number 410003, Seoul, Korea, Republic of|Investigational Site Number 410002, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT01657214"
73,"NCT01659138","Efficacy and Safety of SAR339658 in Patients With Moderate to Severe Ulcerative Colitis","FUSCIA","Terminated","No Results Available","Ulcerative Colitis","Drug: SAR339658|Other: Placebo","Proportion of Participants with Clinical Response by Mayo Score|Proportion of Participants with Clinical Remission by Mayo Score|Proportion of Participants with Mucosal Healing|Change from Baseline in Inflammatory Bowel Disease Questionnaire (IBDQ)|Change from Baseline in Quality of Life (QoL) SF-36|Change from Baseline in the partial Mayo Score|Number of Participants with adverse events","Sanofi","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","28","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ACT12688|2012-002013-19|U1111-1124-1076","August 2012","June 2014","April 2016","August 7, 2012",,"July 13, 2016","Investigational Site Number 840065, Sun City, Arizona, United States|Investigational Site Number 840059, Mission Hills, California, United States|Investigational Site Number 840074, San Diego, California, United States|Investigational Site Number 840061, Littleton, Colorado, United States|Investigational Site Number 840003, Miami, Florida, United States|Investigational Site Number 840008, Miramar,, Florida, United States|Investigational Site Number 840048, Winter Park,, Florida, United States|Investigational Site Number 840053, Savannah,, Georgia, United States|Investigational Site Number 840001, Chicago, Illinois, United States|Investigational Site Number 840005, Oak Lawn, Illinois, United States|Investigational Site Number 840078, Hammond, Louisiana, United States|Investigational Site Number 840070, Rochester Hills, Michigan, United States|Investigational Site Number 840060, Ocean Springs, Mississippi, United States|Investigational Site Number 840024, Mexico, Missouri, United States|Investigational Site Number 840051, Great Neck, New York, United States|Investigational Site Number 840071, Rochester, New York, United States|Investigational Site Number 840089, Winston Salem, North Carolina, United States|Investigational Site Number 840046, Cincinnati, Ohio, United States|Investigational Site Number 840045, Phoenixville, Pennsylvania, United States|Investigational Site Number 840019, Pasadena,, Texas, United States|Investigational Site Number 840088, San Antonio, Texas, United States|Investigational Site Number 840038, Sugar Land, Texas, United States|Investigational Site Number 840068, Charlottesville,, Virginia, United States|Investigational Site Number 840034, Seattle, Washington, United States|Investigational Site Number 840064, Wauwatosa, Wisconsin, United States|Investigational Site Number 040003, Innsbruck, Austria|Investigational Site Number 124002, Vancouver, Canada|Investigational Site Number 250003, Grenoble, France|Investigational Site Number 250006, Vandoeuvre Les Nancy, France|Investigational Site Number 276001, Berlin, Germany|Investigational Site Number 276007, Hamburg, Germany|Investigational Site Number 276005, Hamburg, Germany|Investigational Site Number 380003, Firenze, Italy|Investigational Site Number 380006, San Giovanni Rotondo, Italy|Investigational Site Number 616001, Gdynia, Poland|Investigational Site Number 616004, Lodz, Poland|Investigational Site Number 616005, Lodz, Poland|Investigational Site Number 616002, Lodz, Poland|Investigational Site Number 616007, Poznan, Poland|Investigational Site Number 616006, Sroda Wielkopolska, Poland|Investigational Site Number 616008, Warszawa, Poland",,"https://ClinicalTrials.gov/show/NCT01659138"
74,"NCT01736592","Phase I/II Follow-up Study of SAR422459 in Patients With Stargardt's Macular Degeneration",,"Active, not recruiting","No Results Available","Stargardt's Disease","Drug: SAR422459 administered in previous study TDU13583","The incidence of Adverse Events|Delay in retinal degeneration","Sanofi","All","6 Years and older   (Child, Adult, Older Adult)","Phase 1|Phase 2","46","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LTS13588|SG1/002/11","December 14, 2012","June 1, 2034","June 1, 2034","November 29, 2012",,"October 3, 2019","Investigational Site Number 840001, Portland, Oregon, United States|Investigational Site Number 250001, Paris, France",,"https://ClinicalTrials.gov/show/NCT01736592"
75,"NCT01367444","Phase I/II Study of SAR422459 in Patients With Stargardt's Macular Degeneration",,"Terminated","No Results Available","Stargardt's Disease","Drug: SAR422459","Number of patients with treatment emergent adverse events|Change from baseline in ocular safety assessments|Delay in retinal degeneration","Sanofi","All","6 Years and older   (Child, Adult, Older Adult)","Phase 1|Phase 2","27","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TDU13583|SG1/001/10","June 8, 2011","August 16, 2019","August 16, 2019","June 7, 2011",,"January 18, 2020","Investigational Site Number 840002, Miami, Florida, United States|Investigational Site Number 840005, Iowa City, Iowa, United States|Investigational Site Number 840001, Portland, Oregon, United States|Investigational Site Number 840004, Houston, Texas, United States|Investigational Site Number 250001, Paris, France",,"https://ClinicalTrials.gov/show/NCT01367444"
76,"NCT01651143","Proof of Biological Activity of SAR100842 in Systemic Sclerosis",,"Completed","No Results Available","Systemic Sclerosis","Drug: SAR100842|Drug: Placebo (for SAR100842)","Safety and tolerability during the 8 week treatment period (core part): Number of patients reporting adverse events|Change from baseline to Week 8 in biomarkers obtained from blood and skin|Change from baseline to Week 8 in Modified Rodnan Skin Score (mRSS)|Change from baseline to Week 8 in Scleroderma Health Assessment Questionnaire (SHAQ) score","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 2","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ACT12339|2012-001369-34|U1111-1127-2854","January 2013","November 2013","April 2014","July 26, 2012",,"March 25, 2016","Investigational Site Number 840006, Scottsdale, Arizona, United States|Investigational Site Number 840003, Washington, District of Columbia, United States|Investigational Site Number 840004, Baltimore, Maryland, United States|Investigational Site Number 840001, Boston, Massachusetts, United States|Investigational Site Number 840002, Ann Arbor, Michigan, United States|Investigational Site Number 840007, New Brunswick, New Jersey, United States|Investigational Site Number 840008, Pittsburgh, Pennsylvania, United States|Investigational Site Number 250003, Lille, France|Investigational Site Number 250001, Paris Cedex 14, France|Investigational Site Number 380001, Milano, Italy|Investigational Site Number 756001, Zürich, Switzerland|Investigational Site Number 826001, London, United Kingdom|Investigational Site Number 826002, Salford, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01651143"
